genotype,mean_lat,lat95,lat99,std_dev_lat,macs,params
"Genotype(normal=[('avg_pool_3x3', 1), ('max_pool_3x3', 1), ('dil_conv_3x3', 2), ('avg_pool_3x3', 0), ('skip_connect', 0), ('dil_conv_3x3', 1), ('mobilenetV2_1.4', 1), ('skip_connect', 0)], normal_concat=range(2, 6), reduce=[('mobilenetV3_1.0_5x5_Hswish_SE', 0), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 1), ('mobilenetV3_1.0_3x3_Hswish', 0), ('mobilenetV3_1.0_3x3_Hsigmoid_SE', 2), ('mobilenetV3_1.0_3x3_Hsigmoid', 1), ('mobilenetV3_1.0_3x3_Hswish_SE', 3), ('sep_conv_3x3', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 2)], reduce_concat=range(2, 6))",24.19788360595703,25.457382202148438,26.2908935546875,0.6462598697783403,841783168.0,5453614.0
"Genotype(normal=[('avg_pool_3x3', 1), ('mobilenetV2_1.0', 0), ('sep_conv_3x3', 1), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 2), ('mobilenetV2_1.0', 3), ('mobilenetV3_1.0_3x3_Hswish_SE', 2), ('dil_conv_5x5', 3), ('max_pool_3x3', 1)], normal_concat=range(2, 6), reduce=[('skip_connect', 1), ('mobilenetV3_1.0_3x3_Hswish_SE', 1), ('dil_conv_5x5', 2), ('max_pool_3x3', 2), ('mobilenetV3_1.0_5x5_Hsigmoid', 3), ('skip_connect', 3), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 3), ('mobilenetV3_1.0_5x5_Hswish_SE', 4)], reduce_concat=range(2, 6))",43.89037847518921,44.87752914428711,48.41804504394531,0.9102839220308971,658516928.0,4454182.0
"Genotype(normal=[('avg_pool_3x3', 1), ('mobilenetV2_1.0', 1), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 2), ('mobilenetV3_1.0_3x3_Hswish', 2), ('avg_pool_3x3', 0), ('mobilenetV2_1.4', 2), ('sep_conv_5x5', 4), ('mobilenetV3_1.0_5x5_Hsigmoid', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 0), ('mobilenetV3_1.0_3x3_Hsigmoid_SE', 0), ('avg_pool_3x3', 2), ('mobilenetV2_1.0', 0), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 3), ('mobilenetV2_1.4', 3), ('mobilenetV3_1.0_5x5_Hsigmoid', 1), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 3)], reduce_concat=range(2, 6))",48.293607234954834,52.14548110961914,52.546024322509766,1.544279383306171,1120883712.0,7454206.0
"Genotype(normal=[('avg_pool_3x3', 1), ('mobilenetV3_1.0_3x3_Hsigmoid', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 2), ('sep_conv_7x7', 1), ('mobilenetV2_1.0', 3), ('mobilenetV2_1.0', 0), ('mobilenetV3_1.0_5x5_Hswish', 3), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 0)], normal_concat=range(2, 6), reduce=[('mobilenetV3_1.0_3x3_Hswish', 1), ('skip_connect', 0), ('dil_conv_5x5', 1), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 0), ('dil_conv_5x5', 0), ('mobilenetV3_1.0_5x5_Hswish_SE', 1), ('dil_conv_5x5', 0), ('dil_conv_3x3', 1)], reduce_concat=range(2, 6))",54.435672760009766,57.970523834228516,58.34364891052246,2.566862335455677,819153600.0,5304574.0
"Genotype(normal=[('avg_pool_3x3', 1), ('mobilenetV3_1.0_3x3_Hswish_SE', 0), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 1), ('mobilenetV3_1.0_5x5_Hswish', 0), ('sep_conv_5x5', 3), ('sep_conv_3x3', 0), ('sep_conv_3x3', 0), ('avg_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('mobilenetV2_1.4', 0), ('mobilenetV2_1.4', 0), ('mobilenetV3_1.0_5x5_Hswish', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 1), ('dil_conv_3x3', 4), ('sep_conv_7x7', 4)], reduce_concat=range(2, 6))",47.41649866104126,48.116445541381836,48.84171485900879,0.39558928032055,929887424.0,5686462.0
"Genotype(normal=[('avg_pool_3x3', 1), ('mobilenetV3_1.0_5x5_Hsigmoid', 0), ('max_pool_3x3', 1), ('dil_conv_3x3', 1), ('sep_conv_7x7', 3), ('sep_conv_5x5', 0), ('max_pool_3x3', 1), ('mobilenetV3_1.0_5x5_Hswish_SE', 3)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('mobilenetV3_1.0_5x5_Hsigmoid', 1), ('skip_connect', 1), ('mobilenetV3_1.0_3x3_Hswish_SE', 1), ('mobilenetV3_1.0_3x3_Hswish_SE', 2), ('mobilenetV3_1.0_5x5_Hsigmoid', 3), ('dil_conv_3x3', 2), ('sep_conv_7x7', 1)], reduce_concat=range(2, 6))",40.33163547515869,43.36714744567871,43.50757598876953,1.5431989555915664,726901760.0,4611862.0
"Genotype(normal=[('avg_pool_3x3', 1), ('skip_connect', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 0), ('mobilenetV3_1.0_5x5_Hswish', 0), ('mobilenetV2_1.4', 2), ('sep_conv_3x3', 1), ('mobilenetV3_1.0_3x3_Hswish', 4), ('sep_conv_3x3', 4)], normal_concat=range(2, 6), reduce=[('mobilenetV2_1.0', 1), ('mobilenetV3_1.0_3x3_Hsigmoid', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 1), ('mobilenetV2_1.4', 1), ('skip_connect', 1), ('dil_conv_5x5', 4), ('mobilenetV3_1.0_5x5_Hswish', 1)], reduce_concat=range(2, 6))",42.32076644897461,45.93992233276367,46.55265808105469,1.3607610379765667,1174747648.0,7499998.0
"Genotype(normal=[('avg_pool_3x3', 1), ('skip_connect', 0), ('mobilenetV3_1.0_5x5_Hsigmoid_SE', 2), ('mobilenetV3_1.0_3x3_Hsigmoid', 2), ('avg_pool_3x3', 2), ('max_pool_3x3', 1), ('mobilenetV3_1.0_5x5_Hswish_SE', 4), ('sep_conv_5x5', 1)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('sep_conv_7x7', 1), ('sep_conv_5x5', 2), ('mobilenetV2_1.4', 1), ('max_pool_3x3', 2), ('mobilenetV3_1.0_5x5_Hswish', 1), ('skip_connect', 3), ('sep_conv_7x7', 1)], reduce_concat=range(2, 6))",41.70320987701416,44.81863975524902,46.00882530212402,1.3756026825840528,715034944.0,4531510.0
"Genotype(normal=[('avg_pool_3x3', 1), ('skip_connect', 0), ('mobilenetV3_1.0_5x5_Hswish', 1), ('mobilenetV3_1.0_5x5_Hswish', 1), ('skip_connect', 3), ('mobilenetV2_1.4', 2), ('mobilenetV3_1.0_5x5_Hswish_SE', 2), ('mobilenetV3_1.0_3x3_Hswish_SE', 0)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 1), ('mobilenetV3_1.0_5x5_Hswish_SE', 0), ('avg_pool_3x3', 2), ('sep_conv_5x5', 1), ('mobilenetV3_1.0_3x3_Hsigmoid_SE', 2), ('max_pool_3x3', 0), ('mobilenetV3_1.0_3x3_Hswish_SE', 3), ('mobilenetV3_1.0_3x3_Hsigmoid', 2)], reduce_concat=range(2, 6))",44.215357303619385,47.39999771118164,47.92284965515137,1.9951905256314428,1027451520.0,6920902.0
"Genotype(normal=[('avg_pool_3x3', 1), ('skip_connect', 1), ('skip_connect', 1), ('mobilenetV3_1.0_3x3_Hsigmoid', 1), ('mobilenetV3_1.0_5x5_Hswish', 1), ('sep_conv_7x7', 0), ('mobilenetV2_1.4', 2), ('skip_connect', 2)], normal_concat=range(2, 6), reduce=[('mobilenetV3_1.0_3x3_Hsigmoid_SE', 1), ('skip_connect', 0), ('sep_conv_5x5', 1), ('mobilenetV3_1.0_3x3_Hsigmoid', 2), ('dil_conv_3x3', 1), ('skip_connect', 3), ('mobilenetV3_1.0_3x3_Hsigmoid', 1), ('mobilenetV3_1.0_3x3_Hswish_SE', 0)], reduce_concat=range(2, 6))",32.811992168426514,33.14018249511719,33.800601959228516,0.24108157981461648,1006294272.0,6399262.0
